Z,symbol,name_common,N,A,isotope,atomic_mass_u,ame_flag,ame_element,B_u_obs_MeV,B_u_base_MeV,op_contribution_MeV,op_82pre_MeV,op_3d_odd_MeV,op_dm_sat_MeV,op_ms_fill_MeV,B_u_final_MeV,residual_MeV,row_status,notes
35,Br,Bromine,44,79,Br-79,78.91833757400,measured,Br,76.068068,76.116981,0.000000,-0.000000,0.000000,0.000000,-0.000000,76.116981,0.048912,cr274_training,
36,Kr,Krypton,48,84,Kr-84,83.91149772708,measured,Kr,82.439345,82.646602,0.000000,-0.000000,0.000000,0.000000,-0.000000,82.646602,0.207257,cr274_training,
37,Rb,Rubidium,48,85,Rb-85,84.91178973604,measured,Rb,82.167341,78.564591,0.000000,-0.000000,0.000000,0.000000,-0.000000,78.564591,-3.602749,extended_observed,
38,Sr,Strontium,50,88,Sr-88,87.90561225300,measured,Sr,87.921630,88.155080,0.000000,-0.000000,0.000000,0.000000,-0.000000,88.155080,0.233450,extended_observed,
39,Y,Yttrium,50,89,Y-89,88.90583815600,measured,Y,87.711202,83.507998,0.000000,-0.000000,0.000000,0.000000,-0.000000,83.507998,-4.203205,cr274_training,
40,Zr,Zirconium,50,90,Zr-90,89.90469875500,measured,Zr,88.772548,94.268771,0.000000,-0.000000,0.000000,0.000000,-0.000000,94.268771,5.496223,cr274_training,
41,Nb,Niobium,52,93,Nb-93,92.90637317000,measured,Nb,87.212840,88.220098,-0.906288,-0.000000,0.000000,0.000000,-0.906288,87.313810,0.100970,extended_observed,
42,Mo,Molybdenum,56,98,Mo-98,97.90540360900,measured,Mo,88.115980,95.886137,-2.718863,-0.000000,0.000000,0.000000,-2.718863,93.167274,5.051294,extended_observed,
43,Tc,Technetium,55,98,Tc-98,97.90721120600,measured,Tc,86.432214,84.283596,-2.265719,-0.000000,0.000000,0.000000,-2.265719,82.017877,-4.414337,extended_observed,
44,Ru,Ruthenium,58,102,Ru-102,101.90434031200,measured,Ru,89.106435,100.170409,-3.625150,-0.000000,0.000000,0.000000,-3.625150,96.545259,7.438824,extended_observed,
45,Rh,Rhodium,58,103,Rh-103,102.90549408100,measured,Rh,88.031706,95.103720,-3.625150,-0.000000,0.000000,0.000000,-3.625150,91.478570,3.446864,extended_observed,
46,Pd,Palladium,60,106,Pd-106,105.90348028700,measured,Pd,89.907543,103.341964,-4.531438,-0.000000,0.000000,0.000000,-4.531438,98.810526,8.902983,extended_observed,
47,Ag,Silver,60,107,Ag-107,106.90509150900,measured,Ag,88.406700,97.628963,-4.531438,-0.000000,0.000000,0.000000,-4.531438,93.097525,4.690826,cr274_training,
48,Cd,Cadmium,66,114,Cd-114,113.90336499800,measured,Cd,90.014934,99.067145,-7.250300,-0.000000,0.000000,0.000000,-7.250300,91.816845,1.801911,extended_observed,
49,In,Indium,66,115,In-115,114.90387877200,measured,In,89.536357,95.745203,-7.250300,-0.000000,0.000000,0.000000,-7.250300,88.494902,-1.041455,extended_observed,
50,Sn,Tin,70,120,Sn-120,119.90220255700,measured,Sn,91.097741,97.813594,-9.062876,-0.000000,0.000000,0.000000,-9.062876,88.750718,-2.347023,cr274_training,
51,Sb,Antimony,70,121,Sb-121,120.90381135300,measured,Sb,89.599157,94.619177,0.000000,-0.000000,0.000000,0.000000,-0.000000,94.619177,5.020020,extended_observed,
52,Te,Tellurium,78,130,Te-130,129.90622274500,measured,Te,87.352960,78.048520,0.000000,-0.000000,0.000000,0.000000,-0.000000,78.048520,-9.304440,extended_observed,
53,I,Iodine,74,127,I-127,126.90447259200,measured,I,88.983217,91.723980,0.000000,-0.000000,0.000000,0.000000,-0.000000,91.723980,2.740763,cr274_training,
54,Xe,Xenon,78,132,Xe-132,131.90415508346,measured,Xe,89.278975,89.699522,0.000000,-0.000000,0.000000,0.000000,-0.000000,89.699522,0.420547,cr274_training,
55,Cs,Cesium,78,133,Cs-133,132.90545195800,measured,Cs,88.070944,87.373066,0.000000,-0.000000,0.000000,0.000000,-0.000000,87.373066,-0.697877,cr274_training,
56,Ba,Barium,82,138,Ba-138,137.90524705900,measured,Ba,88.261806,84.488679,0.000000,-0.000000,0.000000,0.000000,-0.000000,84.488679,-3.773127,cr274_training,
57,La,Lanthanum,82,139,La-139,138.90636292700,measured,La,87.222381,82.443324,-0.727324,-0.727324,0.000000,0.000000,-0.000000,81.716000,-5.506381,extended_observed,
58,Ce,Cerium,82,140,Ce-140,139.90544843300,measured,Ce,88.074227,92.779646,-2.909296,-2.909296,0.000000,0.000000,-0.000000,89.870350,1.796123,extended_observed,
59,Pr,Praseodymium,82,141,Pr-141,140.90765960400,measured,Pr,86.014534,89.031328,-6.545915,-6.545915,0.000000,0.000000,-0.000000,82.485413,-3.529122,extended_observed,
60,Nd,Neodymium,82,142,Nd-142,141.90772882400,measured,Nd,85.950056,97.587238,-11.637182,-11.637182,0.000000,0.000000,-0.000000,85.950056,-0.000000,cr274_training,
61,Pm,Promethium,84,145,Pm-145,144.91275574800,measured,Pm,81.267506,87.251575,0.000000,-0.000000,0.000000,0.000000,-0.000000,87.251575,5.984068,extended_observed,
62,Sm,Samarium,90,152,Sm-152,151.91973864600,measured,Sm,74.762978,76.940380,0.000000,-0.000000,0.000000,0.000000,-0.000000,76.940380,2.177402,cr274_training,
63,Eu,Europium,90,153,Eu-153,152.92123678900,measured,Eu,73.367467,74.195174,0.000000,-0.000000,0.000000,0.000000,-0.000000,74.195174,0.827707,extended_observed,
64,Gd,Gadolinium,94,158,Gd-158,157.92411120000,measured,Gd,70.689970,68.927560,0.000000,-0.000000,0.000000,0.000000,-0.000000,68.927560,-1.762410,cr274_training,
65,Tb,Terbium,94,159,Tb-159,158.92535370700,measured,Tb,69.532582,66.575062,0.000000,-0.000000,0.000000,0.000000,-0.000000,66.575062,-2.957520,extended_observed,
66,Dy,Dysprosium,98,164,Dy-164,163.92918081900,measured,Dy,65.967649,60.493992,0.000000,-0.000000,0.000000,0.000000,-0.000000,60.493992,-5.473658,extended_observed,
67,Ho,Holmium,98,165,Ho-165,164.93032911600,measured,Ho,64.898018,58.525952,0.000000,-0.000000,0.000000,0.000000,-0.000000,58.525952,-6.372065,extended_observed,
68,Er,Erbium,98,166,Er-166,165.93030106700,measured,Er,64.924145,67.934509,0.000000,-0.000000,0.000000,0.000000,-0.000000,67.934509,3.010364,cr274_training,
69,Tm,Thulium,100,169,Tm-169,168.93421895600,measured,Tm,61.274655,57.894068,0.000000,-0.000000,0.000000,0.000000,-0.000000,57.894068,-3.380587,extended_observed,
70,Yb,Ytterbium,104,174,Yb-174,173.93886754500,measured,Yb,56.944521,52.040229,0.000000,-0.000000,0.000000,0.000000,-0.000000,52.040229,-4.904293,extended_observed,
