row_entity_id,source_candidate_id,source_path,source_hash,source_row_number,active_status,matter_or_antimatter,charged_or_neutral,carrier_only,support_only,particle_promoted,pair_id,partition_signature,route_class,closure_depth,native_mass,observed_candidate_mass,provenance_status
"SAM[row=QP093A-0001,p=1,sign=positive,depth=0,class=positron_substrate_slot]",QP093A-0001,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,2,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0073,1,single_write,0,1.25,1.25,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|MIRROR
"SAM[row=QP093A-0002,p=1,sign=negative,depth=0,class=electron_like_minus]",QP093A-0002,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,3,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0074,1,single_write,0,1.5,1.5,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|EXACT_CONTACT
"SAM[row=QP093A-0003,p=1,sign=neutral,depth=0,class=neutrino_like]",QP093A-0003,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,4,ACTIVE_PARTICLE_BEARING_ROW,matter,neutral,false,false,true,NEUTRAL_FIXED_POINT::QP093A-0003,1,outer_binary_neutral,0,0.125,0.125,StructurallyStableMatterRow|CR255_COMPACT_MATTER_NEUTRAL_LAW|NEUTRAL_ANCHOR
"SAM[row=QP093A-0004,p=2,sign=positive,depth=0,class=quark_like_charged]",QP093A-0004,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,5,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0075,2,single_write,0,2.5,2.5,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
"SAM[row=QP093A-0005,p=2,sign=negative,depth=0,class=quark_like_charged]",QP093A-0005,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,6,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0076,2,single_write,0,3,3,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
"SAM[row=QP093A-0006,p=2,sign=neutral,depth=0,class=neutral_higher_partition]",QP093A-0006,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,7,ACTIVE_PARTICLE_BEARING_ROW,matter,neutral,false,false,true,NEUTRAL_FIXED_POINT::QP093A-0006,2,outer_binary_neutral,0,0.25,0.25,StructurallyStableMatterRow|CR255_COMPACT_MATTER_NEUTRAL_LAW|SUBSTRATE_CANDIDATE
"SAM[row=QP093A-0007,p=3,sign=positive,depth=0,class=quark_like_charged]",QP093A-0007,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,8,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0077,3,single_write,0,3.75,3.75,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
"SAM[row=QP093A-0008,p=3,sign=negative,depth=0,class=quark_like_charged]",QP093A-0008,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,9,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0078,3,single_write,0,4.5,4.5,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
"SAM[row=QP093A-0009,p=3,sign=neutral,depth=0,class=neutral_higher_partition]",QP093A-0009,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,10,ACTIVE_PARTICLE_BEARING_ROW,matter,neutral,false,false,true,NEUTRAL_FIXED_POINT::QP093A-0009,3,outer_binary_neutral,0,0.375,0.375,StructurallyStableMatterRow|CR255_COMPACT_MATTER_NEUTRAL_LAW|SUBSTRATE_CANDIDATE
"SAM[row=QP093A-0010,p=4,sign=positive,depth=0,class=quark_like_charged]",QP093A-0010,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,11,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0079,4,single_write,0,5,5,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
"SAM[row=QP093A-0011,p=4,sign=negative,depth=0,class=quark_like_charged]",QP093A-0011,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,12,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0080,4,single_write,0,6,6,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
"SAM[row=QP093A-0012,p=4,sign=neutral,depth=0,class=neutral_higher_partition]",QP093A-0012,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,13,ACTIVE_PARTICLE_BEARING_ROW,matter,neutral,false,false,true,NEUTRAL_FIXED_POINT::QP093A-0012,4,outer_binary_neutral,0,0.5,0.5,StructurallyStableMatterRow|CR255_COMPACT_MATTER_NEUTRAL_LAW|SUBSTRATE_CANDIDATE
"SAM[row=QP093A-0013,p=6,sign=positive,depth=0,class=quark_like_charged]",QP093A-0013,09a_PARTICLE_MASS_CHAIN/CR253_PARTICLE_PROMOTER_80_ROW/CR253_input_catalog_299.csv,33abc9e19f008c7c8082fbc628dc0f46786820ba7682905419a2929c8ada5b7c,14,ACTIVE_PARTICLE_BEARING_ROW,matter,charged,false,false,true,QP093A-0081,6,single_write,0,7.5,7.5,StructurallyStableMatterRow|CR254_COMPACT_MATTER_CHARGED_LAW|SECTOR_HINT
