label,Z,N,A,Q_mass,Q_sub,dQ,asym_feature,delta_pair,B_u_observed_u,B_u_predicted_u,B_u_observed_MeV,B_u_predicted_MeV,residual_u,residual_MeV
C-12,6,6,12,444.8125,444.8125,0.0,0.0,1.0,0.0,-0.005222336479060726,0.0,-4.864575631097894,-0.005222336479060726,-4.864575631097894
C-13,6,7,13,481.88020833333337,444.9375,36.94270833333337,2.8321638353274805,0.0,-0.003354835210000573,-0.007916650052999954,-3.125009212706496,-7.374312835292438,-0.004561814842999381,-4.249303622585942
Au-197,79,118,197,7302.338541666667,5861.572916666667,1440.765625,284.2658655630973,0.0,0.03343120499999941,0.03055377039016713,31.140970294293464,28.460656925135503,-0.00287743460983228,-2.6803133691579624
