lane_id,lane_class,range_name,channel,ell_min,ell_max,n_points,official_theory_chi2_diag,model_chi2_diag,delta_chi2_vs_official_theory,official_theory_chi2_per_point,model_chi2_per_point,delta_chi2_per_point,rms_model_minus_official_theory_Dl,max_abs_model_minus_official_theory_Dl,rms_model_minus_measured_in_sigma
sam_native_primary,PRIMARY_SEALED_PREDICTION,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,2605.945608842232,67.55724815003032,1.0272716959498995,1.0546117397176171,0.02734004376771765,24.32141443740298,76.39786981684847,1.0269429096681164
sam_native_primary,PRIMARY_SEALED_PREDICTION,low_l_TTTEEE,TT,2,29,28,27.358720116418983,29.741363447578347,2.3826433311593647,0.9770971470149636,1.0621915516992266,0.08509440468426302,14.267091419975838,19.97746023038121,1.0306267761412113
sam_native_primary,PRIMARY_SEALED_PREDICTION,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2052.995677164214,7.261621535393942,1.0400274812551196,1.0437192054724016,0.0036917242172821263,0.6034907061398808,1.580570518024217,1.0216257658616494
sam_native_primary,PRIMARY_SEALED_PREDICTION,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.128925604381703,0.11864901001681005,0.9646527355130319,0.9688902001564894,0.0042374646434575015,0.030332704330304737,0.06496623899170206,0.9843222034255295
sam_native_primary,PRIMARY_SEALED_PREDICTION,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2049.709544988065,5.631287426901736,1.0391856927103016,1.0420485739644458,0.002862881254144248,0.23009242777869057,0.4674710846882917,1.0208078046157592
sam_native_primary,PRIMARY_SEALED_PREDICTION,low_l_TTTEEE,EE,2,29,28,22.588468457795948,22.39096643694656,-0.19750202084938806,0.8067310163498552,0.7996773727480914,-0.007053643601763859,0.0003373404085680198,0.0009456842624792072,0.8942468186960977
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,2538.758810114891,0.3704494226890347,1.0272716959498995,1.0274216147773738,0.00014991882747431595,2.2690917477179124,9.489280307171612,1.0136180813192777
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,27.837395126473602,0.4786750100546193,0.9770971470149636,0.994192683088343,0.017095536073379262,3.3276553562236395,7.440255640546866,0.9970921136426378
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2045.7082947616295,-0.02576086719068371,1.0400274812551196,1.0400143847288406,-1.309652627894444e-05,0.058894363524351206,0.16288521065411032,1.0198109553877328
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.05723141698481,0.04695482261991657,0.9646527355130319,0.9663296934637432,0.001676957950711306,0.011395721294428876,0.028649889301060938,0.9830206983902949
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2044.235170326661,0.15691276549796385,1.0391856927103016,1.0392654653414648,7.97726311631743e-05,0.02311371490995207,0.043777019838692866,1.0194437038608188
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,22.501853689815082,-0.08661476798086554,0.8067310163498552,0.8036376317791101,-0.003093384570745198,0.00016058409563703512,0.0004542155737748618,0.8964583826252672
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,2607.5024970694553,69.11413637725354,1.0272716959498995,1.0552418037512972,0.02797010780139763,24.035439784075443,74.8406698720355,1.027249630689297
