lane,lane_status,H0,omega_b_h2,omega_cdm_h2_for_camb,omega_m_total_h2,card_sha256,range_name,channel,ell_min,ell_max,n_points,official_theory_chi2_diag,model_chi2_diag,delta_chi2_vs_official_theory,official_theory_chi2_per_point,model_chi2_per_point,delta_chi2_per_point,rms_model_minus_official_theory_Dl,max_abs_model_minus_official_theory_Dl,rms_model_minus_measured_in_sigma
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,high_l_TTTEEE,TT,30,2500,2471,2538.388360692201,2541.5478582721157,3.1594975799148415,1.027271695949899,1.028550327103244,0.0012786311533447355,6.759537901569324,22.48277115460678,1.0141747024567531
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,low_l_TTTEEE,TT,2,29,28,27.358720116418983,27.852583676748075,0.4938635603290926,0.9770971470149636,0.9947351313124313,0.017637984297467595,3.467576280991114,8.424709958471794,0.9973640916498003
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288223,2048.8764908734975,3.142435244675198,1.0400274812551207,1.041625058908743,0.0015975776536223682,0.475797539689637,1.190202966497587,1.0206003424008552
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.048501165737825,0.03822457137293256,0.9646527355130319,0.9660178987763509,0.00136516326331902,0.007962769886170453,0.022670490749661543,0.9828620955028996
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611606,2043.435888909312,-0.6423686518485283,1.0391856927103003,1.0388591199335597,-0.0003265727767404821,0.10091805091748104,0.23083169986154317,1.019244386755973
primary_planck_side,PRIMARY_SAM_BACKGROUND,67.36,0.022368783502886305,0.11935194895461661,0.1423649239971207,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612,low_l_TTTEEE,EE,2,29,28,22.588468457795944,22.529268602325004,-0.059199855470939866,0.8067310163498551,0.8046167357973216,-0.0021142805525335667,0.00011728205480806573,0.00037429252837706956,0.8970043120282765
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,high_l_TTTEEE,TT,30,2500,2471,2538.388360692201,2584.48427465164,46.09591395943926,1.027271695949899,1.0459264567590612,0.018654760809161983,11.458198959891206,29.4053553059116,1.0227054594354432
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,low_l_TTTEEE,TT,2,29,28,27.358720116418983,27.8347073399742,0.4759872235552187,0.9770971470149636,0.9940966907133644,0.01699954369840067,3.368309780904908,8.386141100367695,0.9970439763186799
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288223,2058.8127995028526,13.078743874030351,1.0400274812551207,1.0466765630416128,0.006649081786492299,1.4204130197473288,4.059914798738994,1.0230721201565474
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,67.904210097,0.02273168411866837,0.12129870986234363,0.14467458552062978,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.06268368035448,0.05240708598958577,0.9646527355130319,0.9665244171555171,0.001871681642485206,0.010488581534559685,0.032988852377838995,0.9831197369372243
