lane,lane_status,engine,H0,h,D,R,A0,chi,Omega_b,Omega_m_eff,omega_b_h2,omega_m_total_h2,omega_nu_h2,omega_cdm_h2_for_camb,omk,lmax,As,ns,tau,nnu,mnu,num_massive_neutrinos,density_closure_residual,card_sha256
primary_planck_side,PRIMARY_SAM_BACKGROUND,CAMB,67.36,0.6736,3,12,0.026525823848649224,0.07073553026306459,0.049299011266100756,0.3137609155690572,0.022368783502886305,0.1423649239971207,0.0006441915396177796,0.11935194895461661,0.0,2500,2.100549e-09,0.9649,0.0544,3.046,0.06,1,0.0,d1060a09eaaaa4cb5799aeee9ce31bf8c8b9918ae9da22e54a6f23dd74793612
boundary_theta_exact_analytic,BOUNDARY_DIAGNOSTIC,CAMB,67.904210097,0.6790421009700001,3,12,0.026525823848649224,0.07073553026306459,0.049299011266100756,0.3137609155690572,0.02273168411866837,0.14467458552062978,0.0006441915396177796,0.12129870986234363,0.0,2500,2.100549e-09,0.9649,0.0544,3.046,0.06,1,0.0,b974ec295ca0a5a814e10df28cdc7250c114e5ceb62f41642711ba5ffabe48c8
wrong_control_local_ladder,WRONG_CONTROL,CAMB,73.04,0.7304,3,12,0.026525823848649224,0.07073553026306459,0.049299011266100756,0.3137609155690572,0.026300241614126304,0.16738647848318944,0.0006441915396177796,0.14044204532944535,0.0,2500,2.100549e-09,0.9649,0.0544,3.046,0.06,1,0.0,2644c9c9b30b7c062b6a9bb1818c2d8d2f1cc50965d412cb608361fb546fcc4c
