candidate_id,bin,partition_signature,n_atoms,n_conn,q_abs,q_sign,M_native,M_observed,formula_applicable,predicted_ratio,actual_ratio,abs_rel_delta,classification,set
QP093A-0001,stable_matter_rows,1,1,0,1,positive,1.25,1.25,False,,1,,not_applicable,out_of_scope
QP093A-0002,stable_matter_rows,1,1,0,1,negative,1.5,1.5,False,,1,,not_applicable,out_of_scope
QP093A-0003,stable_matter_rows,1,1,0,0,neutral,0.125,0.125,False,,1,,not_applicable,out_of_scope
QP093A-0004,stable_matter_rows,2,1,0,2,positive,2.50,2.50,False,,1,,not_applicable,out_of_scope
QP093A-0005,stable_matter_rows,2,1,0,2,negative,3.0,3.0,False,,1,,not_applicable,out_of_scope
QP093A-0006,stable_matter_rows,2,1,0,0,neutral,0.250,0.250,False,,1,,not_applicable,out_of_scope
QP093A-0007,stable_matter_rows,3,1,0,3,positive,3.75,3.75,False,,1,,not_applicable,out_of_scope
QP093A-0008,stable_matter_rows,3,1,0,3,negative,4.5,4.5,False,,1,,not_applicable,out_of_scope
QP093A-0009,stable_matter_rows,3,1,0,0,neutral,0.375,0.375,False,,1,,not_applicable,out_of_scope
QP093A-0010,stable_matter_rows,4,1,0,4,positive,5.00,5.00,False,,1,,not_applicable,out_of_scope
QP093A-0011,stable_matter_rows,4,1,0,4,negative,6.0,6.0,False,,1,,not_applicable,out_of_scope
QP093A-0012,stable_matter_rows,4,1,0,0,neutral,0.500,0.500,False,,1,,not_applicable,out_of_scope
QP093A-0013,stable_matter_rows,6,1,0,6,positive,7.50,7.50,False,,1,,not_applicable,out_of_scope
QP093A-0014,stable_matter_rows,6,1,0,6,negative,9.0,9.0,False,,1,,not_applicable,out_of_scope
QP093A-0015,stable_matter_rows,6,1,0,0,neutral,0.750,0.750,False,,1,,not_applicable,out_of_scope
QP093A-0016,stable_matter_rows,8,1,0,8,positive,10.00,10.00,False,,1,,not_applicable,out_of_scope
QP093A-0017,stable_matter_rows,8,1,0,8,negative,12.0,12.0,False,,1,,not_applicable,out_of_scope
QP093A-0018,stable_matter_rows,8,1,0,0,neutral,1.000,1.000,False,,1,,not_applicable,out_of_scope
QP093A-0019,stable_matter_rows,9,1,0,9,positive,11.25,11.25,False,,1,,not_applicable,out_of_scope
QP093A-0020,stable_matter_rows,9,1,0,9,negative,13.5,13.5,False,,1,,not_applicable,out_of_scope
QP093A-0021,stable_matter_rows,9,1,0,0,neutral,1.125,1.125,False,,1,,not_applicable,out_of_scope
QP093A-0022,stable_matter_rows,12,1,0,12,positive,15.00,15.00,False,,1,,not_applicable,out_of_scope
QP093A-0023,stable_matter_rows,12,1,0,12,negative,18.0,18.0,False,,1,,not_applicable,out_of_scope
QP093A-0024,stable_matter_rows,12,1,0,0,neutral,1.500,1.500,False,,1,,not_applicable,out_of_scope
QP093A-0025,stable_matter_rows,1,1,0,1,positive,15.00,15.00,False,,1,,not_applicable,out_of_scope
QP093A-0026,stable_matter_rows,1,1,0,1,negative,18.0,18.0,False,,1,,not_applicable,out_of_scope
QP093A-0027,stable_matter_rows,1,1,0,0,neutral,1.500,1.500,False,,1,,not_applicable,out_of_scope
QP093A-0028,stable_matter_rows,2,1,0,2,positive,30.00,30.00,False,,1,,not_applicable,out_of_scope
QP093A-0029,stable_matter_rows,2,1,0,2,negative,36.0,36.0,False,,1,,not_applicable,out_of_scope
QP093A-0030,stable_matter_rows,2,1,0,0,neutral,3.000,3.000,False,,1,,not_applicable,out_of_scope
QP093A-0031,stable_matter_rows,3,1,0,3,positive,45.00,45.00,False,,1,,not_applicable,out_of_scope
QP093A-0032,stable_matter_rows,3,1,0,3,negative,54.0,54.0,False,,1,,not_applicable,out_of_scope
QP093A-0033,stable_matter_rows,3,1,0,0,neutral,4.500,4.500,False,,1,,not_applicable,out_of_scope
QP093A-0034,stable_matter_rows,4,1,0,4,positive,60.00,60.00,False,,1,,not_applicable,out_of_scope
QP093A-0035,stable_matter_rows,4,1,0,4,negative,72.0,72.0,False,,1,,not_applicable,out_of_scope
QP093A-0036,stable_matter_rows,4,1,0,0,neutral,6.000,6.000,False,,1,,not_applicable,out_of_scope
QP093A-0037,stable_matter_rows,6,1,0,6,positive,90.00,90.00,False,,1,,not_applicable,out_of_scope
QP093A-0038,stable_matter_rows,6,1,0,6,negative,108.0,108.0,False,,1,,not_applicable,out_of_scope
QP093A-0039,stable_matter_rows,6,1,0,0,neutral,9.000,9.000,False,,1,,not_applicable,out_of_scope
QP093A-0040,stable_matter_rows,8,1,0,8,positive,120.00,120.00,False,,1,,not_applicable,out_of_scope
QP093A-0041,stable_matter_rows,8,1,0,8,negative,144.0,144.0,False,,1,,not_applicable,out_of_scope
QP093A-0042,stable_matter_rows,8,1,0,0,neutral,12.000,12.000,False,,1,,not_applicable,out_of_scope
QP093A-0043,stable_matter_rows,9,1,0,9,positive,135.00,135.00,False,,1,,not_applicable,out_of_scope
QP093A-0044,stable_matter_rows,9,1,0,9,negative,162.0,162.0,False,,1,,not_applicable,out_of_scope
QP093A-0045,stable_matter_rows,9,1,0,0,neutral,13.500,13.500,False,,1,,not_applicable,out_of_scope
QP093A-0046,stable_matter_rows,12,1,0,12,positive,180.00,180.00,False,,1,,not_applicable,out_of_scope
QP093A-0047,stable_matter_rows,12,1,0,12,negative,216.0,216.0,False,,1,,not_applicable,out_of_scope
QP093A-0048,stable_matter_rows,12,1,0,0,neutral,18.000,18.000,False,,1,,not_applicable,out_of_scope
QP093A-0049,stable_matter_rows,1,1,0,1,positive,180.00,180.00,False,,1,,not_applicable,out_of_scope
QP093A-0050,stable_matter_rows,1,1,0,1,negative,216.0,216.0,False,,1,,not_applicable,out_of_scope
QP093A-0051,stable_matter_rows,1,1,0,0,neutral,18.000,18.000,False,,1,,not_applicable,out_of_scope
QP093A-0052,stable_matter_rows,2,1,0,2,positive,360.00,360.00,False,,1,,not_applicable,out_of_scope
QP093A-0053,stable_matter_rows,2,1,0,2,negative,432.0,432.0,False,,1,,not_applicable,out_of_scope
QP093A-0054,stable_matter_rows,2,1,0,0,neutral,36.000,36.000,False,,1,,not_applicable,out_of_scope
QP093A-0055,stable_matter_rows,3,1,0,3,positive,540.00,540.00,False,,1,,not_applicable,out_of_scope
QP093A-0056,stable_matter_rows,3,1,0,3,negative,648.0,648.0,False,,1,,not_applicable,out_of_scope
QP093A-0057,stable_matter_rows,3,1,0,0,neutral,54.000,54.000,False,,1,,not_applicable,out_of_scope
QP093A-0058,stable_matter_rows,4,1,0,4,positive,720.00,720.00,False,,1,,not_applicable,out_of_scope
QP093A-0059,stable_matter_rows,4,1,0,4,negative,864.0,864.0,False,,1,,not_applicable,out_of_scope
QP093A-0060,stable_matter_rows,4,1,0,0,neutral,72.000,72.000,False,,1,,not_applicable,out_of_scope
QP093A-0061,stable_matter_rows,6,1,0,6,positive,1080.00,1080.00,False,,1,,not_applicable,out_of_scope
QP093A-0062,stable_matter_rows,6,1,0,6,negative,1296.0,1296.0,False,,1,,not_applicable,out_of_scope
QP093A-0063,stable_matter_rows,6,1,0,0,neutral,108.000,108.000,False,,1,,not_applicable,out_of_scope
QP093A-0064,unstable_resonance_rows,8,1,0,8,positive,1440.00,1440.00,False,,1,,not_applicable,out_of_scope
QP093A-0065,unstable_resonance_rows,8,1,0,8,negative,1728.0,1728.0,False,,1,,not_applicable,out_of_scope
QP093A-0066,unstable_resonance_rows,8,1,0,0,neutral,144.000,144.000,False,,1,,not_applicable,out_of_scope
QP093A-0067,unstable_resonance_rows,9,1,0,9,positive,1620.00,1620.00,False,,1,,not_applicable,out_of_scope
QP093A-0068,unstable_resonance_rows,9,1,0,9,negative,1944.0,1944.0,False,,1,,not_applicable,out_of_scope
QP093A-0069,unstable_resonance_rows,9,1,0,0,neutral,162.000,162.000,False,,1,,not_applicable,out_of_scope
QP093A-0070,unstable_resonance_rows,12,1,0,12,positive,2160.00,2160.00,False,,1,,not_applicable,out_of_scope
QP093A-0071,unstable_resonance_rows,12,1,0,12,negative,2592.0,2592.0,False,,1,,not_applicable,out_of_scope
QP093A-0072,unstable_resonance_rows,12,1,0,0,neutral,216.000,216.000,False,,1,,not_applicable,out_of_scope
QP093A-0073,antimatter_conjugate_rows,1,1,0,1,negative,1.25,1.354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.0833333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
QP093A-0074,antimatter_conjugate_rows,1,1,0,1,positive,1.5,1.375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.91666666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0075,antimatter_conjugate_rows,2,1,0,2,negative,2.50,2.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.1666666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0076,antimatter_conjugate_rows,2,1,0,2,positive,3.0,2.500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.83333333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
QP093A-0077,antimatter_conjugate_rows,3,1,0,3,negative,3.75,4.6875,False,,1.25,,not_applicable,out_of_scope
QP093A-0078,antimatter_conjugate_rows,3,1,0,3,positive,4.5,3.375,False,,0.75,,not_applicable,out_of_scope
QP093A-0079,antimatter_conjugate_rows,4,1,0,4,negative,5.00,6.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,False,,1.3333333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
QP093A-0080,antimatter_conjugate_rows,4,1,0,4,positive,6.0,4.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.66666666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0081,antimatter_conjugate_rows,6,1,0,6,negative,7.50,11.250,False,,1.5,,not_applicable,out_of_scope
QP093A-0082,antimatter_conjugate_rows,6,1,0,6,positive,9.0,4.50,False,,0.5,,not_applicable,out_of_scope
QP093A-0083,antimatter_conjugate_rows,8,1,0,8,negative,10.00,16.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,False,,1.6666666666666666666666666666666666666666666666666666666666666666666666666666667,,not_applicable,out_of_scope
QP093A-0084,antimatter_conjugate_rows,8,1,0,8,positive,12.0,4.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,False,,0.33333333333333333333333333333333333333333333333333333333333333333333333333333333,,not_applicable,out_of_scope
