coefficient,fitted_u,fitted_MeV,best_typed_name,best_typed_value,best_typed_fraction,rel_dev,within_5pct,within_1pct
a_volume,0.00877531068237976,8.174150147539972,+1/(R*kappa),0.008992553042012083,64/7117,0.024756087561495863,True,False
b_surface,0.019981424058469564,18.6125786684175,+1/(D*Theta),0.018518518518518517,1/54,0.07321327727544832,False,False
c_coulomb,0.0007572389910511695,0.7053636542866356,+1/(S*L),0.0007716049382716049,1/1296,0.01897148375903505,True,False
d_asym_NmZ2_over_A,0.028317872670601797,26.37793138574607,+1/(R*D),0.027777777777777776,1/36,0.019072580031222492,True,False
e_pair,0.021476831209512163,20.005541610330376,+D/M,0.023809523809523808,1/42,0.10861437505633921,False,False
