ledger_slot,source_kind,w9_block,w9_role,w9_coordinate,k18_offset,k18_role,microcycle_q,residue_r,dimension,side,fiber_residue,fiber_j,ternary_coordinate,ternary_rank,route_even_ledger,route_odd_ledger,even_candidate_address,odd_candidate_address
0,carrier,0,oriented_face,"[-1,-1,-1]",0,edge,0,0,0,0,0,0,"[-1,-1,-1]",3,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
1,carrier,0,oriented_face,"[-1,-1,-1]",1,edge,0,1,1,1,1,0,"[-1,-1,-1]",3,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
2,carrier,0,oriented_face,"[-1,-1,-1]",2,edge,0,2,2,0,2,0,"[-1,-1,-1]",3,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
3,carrier,0,oriented_face,"[-1,-1,-1]",3,edge,0,3,0,1,3,0,"[-1,-1,-1]",3,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
4,carrier,0,oriented_face,"[-1,-1,-1]",4,edge,0,4,1,0,4,0,"[-1,-1,-1]",3,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
5,carrier,0,oriented_face,"[-1,-1,-1]",5,edge,0,5,2,1,5,0,"[-1,-1,-1]",3,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
6,carrier,0,oriented_face,"[-1,-1,-1]",6,edge,1,0,0,0,0,1,"[-1,-1,0]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
7,carrier,0,oriented_face,"[-1,-1,-1]",7,edge,1,1,1,1,1,1,"[-1,-1,0]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
8,carrier,0,oriented_face,"[-1,-1,-1]",8,edge,1,2,2,0,2,1,"[-1,-1,0]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
9,carrier,0,oriented_face,"[-1,-1,-1]",9,edge,1,3,0,1,3,1,"[-1,-1,0]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
10,carrier,0,oriented_face,"[-1,-1,-1]",10,edge,1,4,1,0,4,1,"[-1,-1,0]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
11,carrier,0,oriented_face,"[-1,-1,-1]",11,edge,1,5,2,1,5,1,"[-1,-1,0]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
12,carrier,0,oriented_face,"[-1,-1,-1]",12,point,2,0,0,0,0,2,"[-1,-1,1]",3,0,6,"[-1,0,0]","[-1,0,0]"
13,carrier,0,oriented_face,"[-1,-1,-1]",13,point,2,1,1,1,1,2,"[-1,-1,1]",3,1,7,"[0,1,0]","[0,1,0]"
14,carrier,0,oriented_face,"[-1,-1,-1]",14,point,2,2,2,0,2,2,"[-1,-1,1]",3,2,8,"[0,0,-1]","[0,0,-1]"
15,carrier,0,oriented_face,"[-1,-1,-1]",15,point,2,3,0,1,3,2,"[-1,-1,1]",3,3,9,"[1,0,0]","[1,0,0]"
16,carrier,0,oriented_face,"[-1,-1,-1]",16,point,2,4,1,0,4,2,"[-1,-1,1]",3,4,10,"[0,-1,0]","[0,-1,0]"
17,carrier,0,oriented_face,"[-1,-1,-1]",17,point,2,5,2,1,5,2,"[-1,-1,1]",3,5,11,"[0,0,1]","[0,0,1]"
18,matter,1,oriented_face,"[1,-1,-1]",0,edge,0,0,0,0,0,3,"[-1,0,-1]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
19,matter,1,oriented_face,"[1,-1,-1]",1,edge,0,1,1,1,1,3,"[-1,0,-1]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
20,matter,1,oriented_face,"[1,-1,-1]",2,edge,0,2,2,0,2,3,"[-1,0,-1]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
21,matter,1,oriented_face,"[1,-1,-1]",3,edge,0,3,0,1,3,3,"[-1,0,-1]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
22,matter,1,oriented_face,"[1,-1,-1]",4,edge,0,4,1,0,4,3,"[-1,0,-1]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
23,matter,1,oriented_face,"[1,-1,-1]",5,edge,0,5,2,1,5,3,"[-1,0,-1]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
24,matter,1,oriented_face,"[1,-1,-1]",6,edge,1,0,0,0,0,4,"[-1,0,0]",1,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
25,matter,1,oriented_face,"[1,-1,-1]",7,edge,1,1,1,1,1,4,"[-1,0,0]",1,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
26,matter,1,oriented_face,"[1,-1,-1]",8,edge,1,2,2,0,2,4,"[-1,0,0]",1,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
27,matter,1,oriented_face,"[1,-1,-1]",9,edge,1,3,0,1,3,4,"[-1,0,0]",1,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
28,matter,1,oriented_face,"[1,-1,-1]",10,edge,1,4,1,0,4,4,"[-1,0,0]",1,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
29,matter,1,oriented_face,"[1,-1,-1]",11,edge,1,5,2,1,5,4,"[-1,0,0]",1,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
30,matter,1,oriented_face,"[1,-1,-1]",12,point,2,0,0,0,0,5,"[-1,0,1]",2,6,0,"[-1,0,0]","[-1,0,0]"
31,matter,1,oriented_face,"[1,-1,-1]",13,point,2,1,1,1,1,5,"[-1,0,1]",2,7,1,"[0,1,0]","[0,1,0]"
32,matter,1,oriented_face,"[1,-1,-1]",14,point,2,2,2,0,2,5,"[-1,0,1]",2,8,2,"[0,0,-1]","[0,0,-1]"
33,matter,1,oriented_face,"[1,-1,-1]",15,point,2,3,0,1,3,5,"[-1,0,1]",2,9,3,"[1,0,0]","[1,0,0]"
34,matter,1,oriented_face,"[1,-1,-1]",16,point,2,4,1,0,4,5,"[-1,0,1]",2,10,4,"[0,-1,0]","[0,-1,0]"
35,matter,1,oriented_face,"[1,-1,-1]",17,point,2,5,2,1,5,5,"[-1,0,1]",2,11,5,"[0,0,1]","[0,0,1]"
36,matter,2,oriented_face,"[-1,1,-1]",0,edge,0,0,0,0,0,6,"[-1,1,-1]",3,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
37,matter,2,oriented_face,"[-1,1,-1]",1,edge,0,1,1,1,1,6,"[-1,1,-1]",3,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
38,matter,2,oriented_face,"[-1,1,-1]",2,edge,0,2,2,0,2,6,"[-1,1,-1]",3,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
39,matter,2,oriented_face,"[-1,1,-1]",3,edge,0,3,0,1,3,6,"[-1,1,-1]",3,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
40,matter,2,oriented_face,"[-1,1,-1]",4,edge,0,4,1,0,4,6,"[-1,1,-1]",3,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
41,matter,2,oriented_face,"[-1,1,-1]",5,edge,0,5,2,1,5,6,"[-1,1,-1]",3,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
42,matter,2,oriented_face,"[-1,1,-1]",6,edge,1,0,0,0,0,7,"[-1,1,0]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
43,matter,2,oriented_face,"[-1,1,-1]",7,edge,1,1,1,1,1,7,"[-1,1,0]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
44,matter,2,oriented_face,"[-1,1,-1]",8,edge,1,2,2,0,2,7,"[-1,1,0]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
45,matter,2,oriented_face,"[-1,1,-1]",9,edge,1,3,0,1,3,7,"[-1,1,0]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
46,matter,2,oriented_face,"[-1,1,-1]",10,edge,1,4,1,0,4,7,"[-1,1,0]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
47,matter,2,oriented_face,"[-1,1,-1]",11,edge,1,5,2,1,5,7,"[-1,1,0]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
48,matter,2,oriented_face,"[-1,1,-1]",12,point,2,0,0,0,0,8,"[-1,1,1]",3,0,6,"[-1,0,0]","[-1,0,0]"
49,matter,2,oriented_face,"[-1,1,-1]",13,point,2,1,1,1,1,8,"[-1,1,1]",3,1,7,"[0,1,0]","[0,1,0]"
50,matter,2,oriented_face,"[-1,1,-1]",14,point,2,2,2,0,2,8,"[-1,1,1]",3,2,8,"[0,0,-1]","[0,0,-1]"
51,matter,2,oriented_face,"[-1,1,-1]",15,point,2,3,0,1,3,8,"[-1,1,1]",3,3,9,"[1,0,0]","[1,0,0]"
52,matter,2,oriented_face,"[-1,1,-1]",16,point,2,4,1,0,4,8,"[-1,1,1]",3,4,10,"[0,-1,0]","[0,-1,0]"
53,matter,2,oriented_face,"[-1,1,-1]",17,point,2,5,2,1,5,8,"[-1,1,1]",3,5,11,"[0,0,1]","[0,0,1]"
54,matter,3,oriented_face,"[1,1,-1]",0,edge,0,0,0,0,0,9,"[0,-1,-1]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
55,matter,3,oriented_face,"[1,1,-1]",1,edge,0,1,1,1,1,9,"[0,-1,-1]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
56,matter,3,oriented_face,"[1,1,-1]",2,edge,0,2,2,0,2,9,"[0,-1,-1]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
57,matter,3,oriented_face,"[1,1,-1]",3,edge,0,3,0,1,3,9,"[0,-1,-1]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
58,matter,3,oriented_face,"[1,1,-1]",4,edge,0,4,1,0,4,9,"[0,-1,-1]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
59,matter,3,oriented_face,"[1,1,-1]",5,edge,0,5,2,1,5,9,"[0,-1,-1]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
60,matter,3,oriented_face,"[1,1,-1]",6,edge,1,0,0,0,0,10,"[0,-1,0]",1,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
61,matter,3,oriented_face,"[1,1,-1]",7,edge,1,1,1,1,1,10,"[0,-1,0]",1,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
62,matter,3,oriented_face,"[1,1,-1]",8,edge,1,2,2,0,2,10,"[0,-1,0]",1,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
63,matter,3,oriented_face,"[1,1,-1]",9,edge,1,3,0,1,3,10,"[0,-1,0]",1,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
64,matter,3,oriented_face,"[1,1,-1]",10,edge,1,4,1,0,4,10,"[0,-1,0]",1,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
65,matter,3,oriented_face,"[1,1,-1]",11,edge,1,5,2,1,5,10,"[0,-1,0]",1,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
66,matter,3,oriented_face,"[1,1,-1]",12,point,2,0,0,0,0,11,"[0,-1,1]",2,6,0,"[-1,0,0]","[-1,0,0]"
67,matter,3,oriented_face,"[1,1,-1]",13,point,2,1,1,1,1,11,"[0,-1,1]",2,7,1,"[0,1,0]","[0,1,0]"
68,matter,3,oriented_face,"[1,1,-1]",14,point,2,2,2,0,2,11,"[0,-1,1]",2,8,2,"[0,0,-1]","[0,0,-1]"
69,matter,3,oriented_face,"[1,1,-1]",15,point,2,3,0,1,3,11,"[0,-1,1]",2,9,3,"[1,0,0]","[1,0,0]"
70,matter,3,oriented_face,"[1,1,-1]",16,point,2,4,1,0,4,11,"[0,-1,1]",2,10,4,"[0,-1,0]","[0,-1,0]"
71,matter,3,oriented_face,"[1,1,-1]",17,point,2,5,2,1,5,11,"[0,-1,1]",2,11,5,"[0,0,1]","[0,0,1]"
72,matter,4,oriented_face,"[-1,-1,1]",0,edge,0,0,0,0,0,12,"[0,0,-1]",1,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
73,matter,4,oriented_face,"[-1,-1,1]",1,edge,0,1,1,1,1,12,"[0,0,-1]",1,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
74,matter,4,oriented_face,"[-1,-1,1]",2,edge,0,2,2,0,2,12,"[0,0,-1]",1,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
75,matter,4,oriented_face,"[-1,-1,1]",3,edge,0,3,0,1,3,12,"[0,0,-1]",1,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
76,matter,4,oriented_face,"[-1,-1,1]",4,edge,0,4,1,0,4,12,"[0,0,-1]",1,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
77,matter,4,oriented_face,"[-1,-1,1]",5,edge,0,5,2,1,5,12,"[0,0,-1]",1,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
78,matter,4,oriented_face,"[-1,-1,1]",6,edge,1,0,0,0,0,13,"[0,0,0]",0,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
79,matter,4,oriented_face,"[-1,-1,1]",7,edge,1,1,1,1,1,13,"[0,0,0]",0,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
80,matter,4,oriented_face,"[-1,-1,1]",8,edge,1,2,2,0,2,13,"[0,0,0]",0,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
81,matter,4,oriented_face,"[-1,-1,1]",9,edge,1,3,0,1,3,13,"[0,0,0]",0,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
82,matter,4,oriented_face,"[-1,-1,1]",10,edge,1,4,1,0,4,13,"[0,0,0]",0,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
83,matter,4,oriented_face,"[-1,-1,1]",11,edge,1,5,2,1,5,13,"[0,0,0]",0,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
84,matter,4,oriented_face,"[-1,-1,1]",12,point,2,0,0,0,0,14,"[0,0,1]",1,0,6,"[-1,0,0]","[-1,0,0]"
85,matter,4,oriented_face,"[-1,-1,1]",13,point,2,1,1,1,1,14,"[0,0,1]",1,1,7,"[0,1,0]","[0,1,0]"
86,matter,4,oriented_face,"[-1,-1,1]",14,point,2,2,2,0,2,14,"[0,0,1]",1,2,8,"[0,0,-1]","[0,0,-1]"
87,matter,4,oriented_face,"[-1,-1,1]",15,point,2,3,0,1,3,14,"[0,0,1]",1,3,9,"[1,0,0]","[1,0,0]"
88,matter,4,oriented_face,"[-1,-1,1]",16,point,2,4,1,0,4,14,"[0,0,1]",1,4,10,"[0,-1,0]","[0,-1,0]"
89,matter,4,oriented_face,"[-1,-1,1]",17,point,2,5,2,1,5,14,"[0,0,1]",1,5,11,"[0,0,1]","[0,0,1]"
90,matter,5,oriented_face,"[1,-1,1]",0,edge,0,0,0,0,0,15,"[0,1,-1]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
91,matter,5,oriented_face,"[1,-1,1]",1,edge,0,1,1,1,1,15,"[0,1,-1]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
92,matter,5,oriented_face,"[1,-1,1]",2,edge,0,2,2,0,2,15,"[0,1,-1]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
93,matter,5,oriented_face,"[1,-1,1]",3,edge,0,3,0,1,3,15,"[0,1,-1]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
94,matter,5,oriented_face,"[1,-1,1]",4,edge,0,4,1,0,4,15,"[0,1,-1]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
95,matter,5,oriented_face,"[1,-1,1]",5,edge,0,5,2,1,5,15,"[0,1,-1]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
96,matter,5,oriented_face,"[1,-1,1]",6,edge,1,0,0,0,0,16,"[0,1,0]",1,0,6,"[""[-1,0,0]"",""[0,-1,0]""]","[""[-1,0,0]"",""[0,0,1]""]"
97,matter,5,oriented_face,"[1,-1,1]",7,edge,1,1,1,1,1,16,"[0,1,0]",1,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
98,matter,5,oriented_face,"[1,-1,1]",8,edge,1,2,2,0,2,16,"[0,1,0]",1,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
99,matter,5,oriented_face,"[1,-1,1]",9,edge,1,3,0,1,3,16,"[0,1,0]",1,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
100,matter,5,oriented_face,"[1,-1,1]",10,edge,1,4,1,0,4,16,"[0,1,0]",1,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
101,matter,5,oriented_face,"[1,-1,1]",11,edge,1,5,2,1,5,16,"[0,1,0]",1,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
102,matter,5,oriented_face,"[1,-1,1]",12,point,2,0,0,0,0,17,"[0,1,1]",2,6,0,"[-1,0,0]","[-1,0,0]"
103,matter,5,oriented_face,"[1,-1,1]",13,point,2,1,1,1,1,17,"[0,1,1]",2,7,1,"[0,1,0]","[0,1,0]"
104,matter,5,oriented_face,"[1,-1,1]",14,point,2,2,2,0,2,17,"[0,1,1]",2,8,2,"[0,0,-1]","[0,0,-1]"
