ledger_id,node_count,link_count,components,degree_histogram,h27_overlap,support_complement_anti_incidences
0,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
1,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
2,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
3,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
4,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
5,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
6,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
7,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
8,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
9,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
10,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
11,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
12,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
13,27,32,"[9,6,6,6]","{""1"":8,""2"":12,""4"":6,""8"":1}",8,24
