pairing,pair_count,boundary_occurrences_used,involution_no_fixed_points,kind_rule_satisfied,locality_and_antipode_satisfied,side_a_cardinality,side_b_cardinality,intersection_classes,union_classes,symmetric_difference,occurrence_sum
cross_kind,18,36,True,True,False,81,81,18,144,126,162
same_kind,18,36,True,True,True,81,81,18,144,126,162
