artifact,Omega_b,Omega_m_eff,A_s_native,n_s_native,tau_native,delta_chi2_per_point,r_d_Mpc,r_star_Mpc,theta_star_100,route_status
CMBP001,0.049299011266101,0.313760915569057,,,,,,,,
CMBP011,,,2.1262624258595048e-09,,,,,,,
CMBP012,,,,0.9646322348684677,,,,,,
CMBP013,,,,,0.05445888635899759,,,,,
REVEAL003_primary,,,,,,0.012560524139317025,,,,
REVEAL003_imported_trio,,,,,,3.1875955103627333e-05,,,,
BAO002,,,,,,,147.09353447852072,144.43237491290824,1.0411066266105615,CONDITIONAL_IMPORTED_RECOMBINATION_TRANSPORT_FROZEN
