pattern,engine_hit_count,doc_mention_count,exemplar_engine_file,exemplar_engine_line,classification
"\bscipy\.optimize\b.{0,80}(phase|action|S_?A|Delta_?phi)",0,0,,,CLEAN
"\bcurve_fit\b.{0,80}(phase|action|S_?A)",0,0,,,CLEAN
"\bleast_squares\b.{0,80}(phase|action|S_?A)",0,0,,,CLEAN
"\bminimize\b.{0,80}(observed[_ ]?phase|observed[_ ]?action)",0,0,,,CLEAN
