tracer,z,observable,window_symbol,window_value,predicted_recomputed,windowed_predicted_source,prediction_error,pull_recomputed,abs_pull_recomputed
BGS,0.295,DV_over_rd,-w,-0.0466031311731253,7.9535111868815305,7.9535111868815305,0.0,0.15348249175373735,0.15348249175373735
LRG1,0.51,DM_over_rd,0,0.0,13.826781104437124,13.826781104437124,0.0,1.4298269726773956,1.4298269726773956
LRG1,0.51,DH_over_rd,-2w,-0.0932062623462506,21.621591276852634,21.621591276852634,0.0,-0.5680205250526255,0.5680205250526255
LRG1,0.51,F_AP_DM_over_DH,0,0.0,0.6394895235689532,0.6394895235689532,0.0,1.0287955040560688,1.0287955040560688
LRG2,0.706,DM_over_rd,-w,-0.0466031311731253,17.18813767022366,17.18813767022366,0.0,-0.920126156928465,0.920126156928465
LRG2,0.706,DH_over_rd,-w,-0.0466031311731253,19.63685128736282,19.63685128736282,0.0,0.5510645071600652,0.5510645071600652
LRG2,0.706,F_AP_DM_over_DH,0,0.0,0.8753000885271758,0.8753000885271758,0.0,-0.795233879658297,0.795233879658297
LRG3_ELG1,0.934,DM_over_rd,-A0,-0.026525823848649224,21.595299724970317,21.595299724970317,0.0,0.12697187480471608,0.12697187480471608
LRG3_ELG1,0.934,DH_over_rd,0,0.0,17.38522188010596,17.38522188010596,0.0,-1.3252752326116009,1.3252752326116009
LRG3_ELG1,0.934,F_AP_DM_over_DH,0,0.0,1.2421641710355151,1.2421641710355151,0.0,1.0086405808165813,1.0086405808165813
ELG2,1.321,DM_over_rd,0,0.0,27.86577511568733,27.86577511568733,0.0,0.8326261499601633,0.8326261499601633
ELG2,1.321,DH_over_rd,+w,0.0466031311731253,14.13659248888641,14.13659248888641,0.0,-0.17831452992574398,0.17831452992574398
ELG2,1.321,F_AP_DM_over_DH,0,0.0,1.9711804763131018,1.9711804763131018,0.0,0.5151216958467073,0.5151216958467073
QSO,1.484,DM_over_rd,0,0.0,29.883392786885192,29.883392786885192,0.0,-0.8271147540984318,0.8271147540984318
QSO,1.484,DH_over_rd,0,0.0,12.358538536413098,12.358538536413098,0.0,-0.888491208501748,0.888491208501748
QSO,1.484,F_AP_DM_over_DH,0,0.0,2.4180361374313804,2.4180361374313804,0.0,0.23555983405426636,0.23555983405426636
LYA,2.33,DM_over_rd,0,0.0,38.30203484151218,38.30203484151218,0.0,-1.2918364566625573,1.2918364566625573
LYA,2.33,DH_over_rd,-w,-0.0466031311731253,8.552617896935795,8.552617896935795,0.0,-0.7859614164772772,0.7859614164772772
LYA,2.33,F_AP_DM_over_DH,0,0.0,4.478398930371356,4.478398930371356,0.0,-0.40825844977983006,0.40825844977983006
