item_id,role,path,sha256,source_repo,source_commit,target_cr,notes
qp049_private_isotope_seed_identity_selector.py,qp_source_code,src/qp049_private_isotope_seed_identity_selector.py,28bae850c3c3c52534da821ad0d0d7cc09e6761b1ebef3fa0819cdd3258f4712,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm source: qp049
qp049_decision_table.csv,qp_artifact,artifacts/qp049/qp049_decision_table.csv,31e3c7f6126e3e81e74a18318d3408e5c491cfb402208099f4d95341456d1893,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_isotope_seed_identity_table.csv,qp_artifact,artifacts/qp049/qp049_isotope_seed_identity_table.csv,d379ea43232299f1847010839ef162e0cb3e9a63def5f078c74d1587ec9ee195,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_next_frontier.csv,qp_artifact,artifacts/qp049/qp049_next_frontier.csv,ce76113db6722792dc1e9157d18f305ee7937355826aa70a52b45f10793ea9b4,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_nuclear_bridge_usage_table.csv,qp_artifact,artifacts/qp049/qp049_nuclear_bridge_usage_table.csv,ae359e82a25b073ba2187a1be31ea8f4dfb73cef6d61d5239a75c81d7c4215cd,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_preflight.md,qp_artifact,artifacts/qp049/qp049_preflight.md,3d9ae5cb7574ddb7810274428d89eb99f84231d198d9c4138f092c7e6ce3f370,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_radix_alpha_cycle_table.csv,qp_artifact,artifacts/qp049/qp049_radix_alpha_cycle_table.csv,05ef826b19d27a0fb2e5ab5833b472406f3f029a8ab0ad4dbdc046f543ef4bb8,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_schema.csv,qp_artifact,artifacts/qp049/qp049_schema.csv,be96bff31225cf6d2af199cd15ea713145b808708d003aa704500b8f6d0b3e7b,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_seed_family_summary_table.csv,qp_artifact,artifacts/qp049/qp049_seed_family_summary_table.csv,d0215b3e8a7d8ea76613bbda09a32ae1db974402e952323656e9c1c42af8a45c,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
qp049_summary.json,qp_artifact,artifacts/qp049/qp049_summary.json,eaac4bd70f3da0683a78c991cdbb17af4af496dcac27028db0836fccbe0f2382,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp049
QP049_PRIVATE_ISOTOPE_SEED_IDENTITY_SELECTOR.md,qp_report,docs/reports/QP049_PRIVATE_ISOTOPE_SEED_IDENTITY_SELECTOR.md,e592d0aea47227e0d3e66e4909f9e7fbbdd4d73a2334a0bb30cbae69f40074cc,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR066,QP arm report: qp049
qp050_private_symmetric_isotope_seed_mass_readout.py,qp_source_code,src/qp050_private_symmetric_isotope_seed_mass_readout.py,7e10ed1ad197298ea8525a780b445aa16fe7d89c826d97a0b9c6b40a1ff2437f,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm source: qp050
qp050_decision_table.csv,qp_artifact,artifacts/qp050/qp050_decision_table.csv,e07cf1d5f1e3b2f09ac559b82f4c5e1414584c714a960a424955a0e67c652972,C:/VS/quantum_phase,f3d26b4b373d72d35856fc7050aa984982a00271,CR067;CR068,QP arm artifact: qp050
