label,description,c_A_value_u,c_A_value_MeV,c_A_fraction,train_rms_u,train_rms_MeV,train_R2,test_rms_u,test_rms_MeV,test_R2,train_ratio_to_locked,test_ratio_to_locked,degrades_by_1p2x_train
WC-A1,1/L         = 1/162,0.006172839506172839,5.749963595185185,1/162,0.09035113399009333,84.16154845873113,-4.167826132973326,0.14197670290947612,132.25046144121345,-20.122934770363255,30.86802898160968,48.50565550847016,True
WC-A2,1/(S*M)     = 1/1008,0.000992063492063492,0.9241012920833332,1/1008,0.004663340263155633,4.343873952707203,0.9862331402327152,0.008362209804494281,7.789349116085123,0.9267239240256814,1.5932077001931018,2.8569086318687766,True
WC-A3,1/(S*R^2)   = 1/1152,0.0008680555555555555,0.8085886305729166,1/1152,0.0033144802327411487,3.087418789386049,0.9930454097900389,0.005513679847942969,5.135960260990878,0.9681431247119914,1.1323761790797695,1.8837221164294653,False
WC-A4,1/(R*L)     = 1/1944,0.00051440329218107,0.4791636329320988,1/1944,0.005251343633718109,4.891595624589231,0.9825425199319036,0.005567570346794391,5.186158942847449,0.9675173456191338,1.7940962146172463,1.902133545339273,True
WC-A5,2/(S*L)     = 2/1296,0.0015432098765432098,1.4374908987962962,1/648,0.013180303627476245,12.277375097099055,0.8900256235375604,0.022253455192080194,20.728962269890427,0.48106258043378913,4.5029871390873915,7.602785592988817,True
WC-A6,(1/2)/(S*L) = 1/2592,0.00038580246913580245,0.35937272469907405,1/2592,0.007139152542326934,6.650078489454288,0.9677348267383762,0.008533356778379322,7.948771512906069,0.9236937883839784,2.439057019526099,2.915380169708883,True
