label,Z,N,A,B_u_observed_u,B_u_observed_MeV,B_u_free_pred_MeV,B_u_locked_pred_MeV,free_residual_MeV,locked_residual_MeV
C-12,6,6,12,0.0,0.0,-4.864575631097894,-4.862561388200062,-4.864575631097894,-4.862561388200062
C-13,6,7,13,-0.003354835210000573,-3.125009212706496,-7.374312835292438,-7.314620889103143,-4.249303622585942,-4.1896116763966464
Au-197,79,118,197,0.03343120499999941,31.140970294293464,28.460656925135503,28.393748548268906,-2.6803133691579624,-2.7472217460245587
