gate,passed
G01_SOURCE_HASHES_MATCH,True
G02_ARCHIVE_INVENTORY_10_OF_10,True
G03_CCSN_PARSER_MONOTONIC_FINITE,True
G04_STARBREAKER_ROSTER_AND_LEDGER_SCALED_CARRIERS,True
G05_EXACT_TRACE_FREE_SOURCE,True
G06_FIXED_13_VIEW_TEMPLATE_BANK,True
G07_PIXEL_GRID_48_BY_64_NORMALIZED,True
G08_PREDECLARED_WAVEFORM_DOORS,True
G09_MATCH_AND_NULL_SURFACES_COMPLETE,True
G10_INVARIANCE_AND_ZERO_CONTROLS,True
G11_NO_ENGINE_REGISTRY_OR_PHYSICAL_CLAIM_MUTATION,True
G12_ATOMIC_RELEASE_INVENTORY,True
