scenario_id,door,seed,anchor,p_level,geometry,view_id,n_x,n_y,n_z,carrier_count,preprojection_trace_relative_error,source_trace_relative_error,normalized_pixel_raw_power
REF_0003,discovery,910001,low_drive,1,localized_ledger_cells,face_yz_p,0.0,0.7071067811865475,0.7071067811865475,378,1.0085877262596243e-08,0.0,1006514.2309733568
REF_0003,discovery,910001,low_drive,1,localized_ledger_cells,face_yz_m,0.0,0.7071067811865475,-0.7071067811865475,378,1.0085877262596243e-08,0.0,736998.5750882181
REF_0003,discovery,910001,low_drive,1,localized_ledger_cells,body_ppp,0.5773502691896258,0.5773502691896258,0.5773502691896258,378,1.0085877262596243e-08,0.0,338616.3496543745
REF_0003,discovery,910001,low_drive,1,localized_ledger_cells,body_ppm,0.5773502691896258,0.5773502691896258,-0.5773502691896258,378,1.0085877262596243e-08,0.0,698445.1508645938
REF_0003,discovery,910001,low_drive,1,localized_ledger_cells,body_pmp,0.5773502691896258,-0.5773502691896258,0.5773502691896258,378,1.0085877262596243e-08,0.0,143939.94217507716
REF_0003,discovery,910001,low_drive,1,localized_ledger_cells,body_mpp,-0.5773502691896258,0.5773502691896258,0.5773502691896258,378,1.0085877262596243e-08,0.0,1007190.7331373489
REF_0004,discovery,910001,low_drive,1,dispersed_slots,axis_x,1.0,0.0,0.0,378,1.4189105405760326e-08,0.0,22184.16136517908
REF_0004,discovery,910001,low_drive,1,dispersed_slots,axis_y,0.0,1.0,0.0,378,1.4189105405760326e-08,0.0,2269.689848667167
REF_0004,discovery,910001,low_drive,1,dispersed_slots,axis_z,0.0,0.0,1.0,378,1.4189105405760326e-08,0.0,42586.45586779489
REF_0004,discovery,910001,low_drive,1,dispersed_slots,face_xy_p,0.7071067811865475,0.7071067811865475,0.0,378,1.4189105405760326e-08,0.0,17762.55606955607
REF_0004,discovery,910001,low_drive,1,dispersed_slots,face_xy_m,0.7071067811865475,-0.7071067811865475,0.0,378,1.4189105405760326e-08,0.0,19228.530038997742
REF_0004,discovery,910001,low_drive,1,dispersed_slots,face_xz_p,0.7071067811865475,0.0,0.7071067811865475,378,1.4189105405760326e-08,0.0,6154.662959995945
REF_0004,discovery,910001,low_drive,1,dispersed_slots,face_xz_m,0.7071067811865475,0.0,-0.7071067811865475,378,1.4189105405760326e-08,0.0,57561.80093750921
REF_0004,discovery,910001,low_drive,1,dispersed_slots,face_yz_p,0.0,0.7071067811865475,0.7071067811865475,378,1.4189105405760326e-08,0.0,16591.26475602987
REF_0004,discovery,910001,low_drive,1,dispersed_slots,face_yz_m,0.0,0.7071067811865475,-0.7071067811865475,378,1.4189105405760326e-08,0.0,37167.96338322906
REF_0004,discovery,910001,low_drive,1,dispersed_slots,body_ppp,0.5773502691896258,0.5773502691896258,0.5773502691896258,378,1.4189105405760326e-08,0.0,6434.524900467537
REF_0004,discovery,910001,low_drive,1,dispersed_slots,body_ppm,0.5773502691896258,0.5773502691896258,-0.5773502691896258,378,1.4189105405760326e-08,0.0,46667.98649289642
REF_0004,discovery,910001,low_drive,1,dispersed_slots,body_pmp,0.5773502691896258,-0.5773502691896258,0.5773502691896258,378,1.4189105405760326e-08,0.0,24642.60093216978
REF_0004,discovery,910001,low_drive,1,dispersed_slots,body_mpp,-0.5773502691896258,0.5773502691896258,0.5773502691896258,378,1.4189105405760326e-08,0.0,29762.998434019435
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,axis_x,1.0,0.0,0.0,594,5.673964397789943e-09,0.0,182403.89783600793
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,axis_y,0.0,1.0,0.0,594,5.673964397789943e-09,0.0,300677.1877814782
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,axis_z,0.0,0.0,1.0,594,5.673964397789943e-09,0.0,698314.4545700033
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,face_xy_p,0.7071067811865475,0.7071067811865475,0.0,594,5.673964397789943e-09,0.0,108355.72466526603
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,face_xy_m,0.7071067811865475,-0.7071067811865475,0.0,594,5.673964397789943e-09,0.0,35924.358791521925
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,face_xz_p,0.7071067811865475,0.0,0.7071067811865475,594,5.673964397789943e-09,0.0,196300.52470040345
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,face_xz_m,0.7071067811865475,0.0,-0.7071067811865475,594,5.673964397789943e-09,0.0,662766.8642350137
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,face_yz_p,0.0,0.7071067811865475,0.7071067811865475,594,5.673964397789943e-09,0.0,432515.61373095016
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,face_yz_m,0.0,0.7071067811865475,-0.7071067811865475,594,5.673964397789943e-09,0.0,485688.42017701804
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,body_ppp,0.5773502691896258,0.5773502691896258,0.5773502691896258,594,5.673964397789943e-09,0.0,69213.95662389048
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,body_ppm,0.5773502691896258,0.5773502691896258,-0.5773502691896258,594,5.673964397789943e-09,0.0,554468.3109673059
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,body_pmp,0.5773502691896258,-0.5773502691896258,0.5773502691896258,594,5.673964397789943e-09,0.0,116644.60999423408
REF_0005,discovery,910001,low_drive,2,localized_ledger_cells,body_mpp,-0.5773502691896258,0.5773502691896258,0.5773502691896258,594,5.673964397789943e-09,0.0,442654.2212647286
REF_0006,discovery,910001,low_drive,2,dispersed_slots,axis_x,1.0,0.0,0.0,594,1.4818969146251985e-08,0.0,7195.071456691122
REF_0006,discovery,910001,low_drive,2,dispersed_slots,axis_y,0.0,1.0,0.0,594,1.4818969146251985e-08,0.0,11265.71005969261
REF_0006,discovery,910001,low_drive,2,dispersed_slots,axis_z,0.0,0.0,1.0,594,1.4818969146251985e-08,0.0,16857.701305017144
REF_0006,discovery,910001,low_drive,2,dispersed_slots,face_xy_p,0.7071067811865475,0.7071067811865475,0.0,594,1.4818969146251985e-08,0.0,2923.7942049097383
REF_0006,discovery,910001,low_drive,2,dispersed_slots,face_xy_m,0.7071067811865475,-0.7071067811865475,0.0,594,1.4818969146251985e-08,0.0,17529.559897283823
REF_0006,discovery,910001,low_drive,2,dispersed_slots,face_xz_p,0.7071067811865475,0.0,0.7071067811865475,594,1.4818969146251985e-08,0.0,11710.682413448307
REF_0006,discovery,910001,low_drive,2,dispersed_slots,face_xz_m,0.7071067811865475,0.0,-0.7071067811865475,594,1.4818969146251985e-08,0.0,16365.875861449727
REF_0006,discovery,910001,low_drive,2,dispersed_slots,face_yz_p,0.0,0.7071067811865475,0.7071067811865475,594,1.4818969146251985e-08,0.0,936.8754423266591
REF_0006,discovery,910001,low_drive,2,dispersed_slots,face_yz_m,0.0,0.7071067811865475,-0.7071067811865475,594,1.4818969146251985e-08,0.0,29175.002134035698
REF_0006,discovery,910001,low_drive,2,dispersed_slots,body_ppp,0.5773502691896258,0.5773502691896258,0.5773502691896258,594,1.4818969146251985e-08,0.0,3474.641126919548
REF_0006,discovery,910001,low_drive,2,dispersed_slots,body_ppm,0.5773502691896258,0.5773502691896258,-0.5773502691896258,594,1.4818969146251985e-08,0.0,17137.262362132875
REF_0006,discovery,910001,low_drive,2,dispersed_slots,body_pmp,0.5773502691896258,-0.5773502691896258,0.5773502691896258,594,1.4818969146251985e-08,0.0,26262.423635551277
REF_0006,discovery,910001,low_drive,2,dispersed_slots,body_mpp,-0.5773502691896258,0.5773502691896258,0.5773502691896258,594,1.4818969146251985e-08,0.0,7332.382691177238
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,axis_x,1.0,0.0,0.0,1008,7.917756711926704e-09,0.0,96157.14146693764
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,axis_y,0.0,1.0,0.0,1008,7.917756711926704e-09,0.0,219459.55852623068
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,axis_z,0.0,0.0,1.0,1008,7.917756711926704e-09,0.0,363389.7783103058
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,face_xy_p,0.7071067811865475,0.7071067811865475,0.0,1008,7.917756711926704e-09,0.0,131311.58786019997
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,face_xy_m,0.7071067811865475,-0.7071067811865475,0.0,1008,7.917756711926704e-09,0.0,42077.44147381869
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,face_xz_p,0.7071067811865475,0.0,0.7071067811865475,1008,7.917756711926704e-09,0.0,61743.81805785005
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,face_xz_m,0.7071067811865475,0.0,-0.7071067811865475,1008,7.917756711926704e-09,0.0,426552.24102889
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,face_yz_p,0.0,0.7071067811865475,0.7071067811865475,1008,7.917756711926704e-09,0.0,297895.87911287986
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,face_yz_m,0.0,0.7071067811865475,-0.7071067811865475,1008,7.917756711926704e-09,0.0,252051.3885035923
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,body_ppp,0.5773502691896258,0.5773502691896258,0.5773502691896258,1008,7.917756711926704e-09,0.0,49525.840454106394
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,body_ppm,0.5773502691896258,0.5773502691896258,-0.5773502691896258,1008,7.917756711926704e-09,0.0,377746.7210000702
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,body_pmp,0.5773502691896258,-0.5773502691896258,0.5773502691896258,1008,7.917756711926704e-09,0.0,34779.40852726975
REF_0007,discovery,910001,low_drive,3,localized_ledger_cells,body_mpp,-0.5773502691896258,0.5773502691896258,0.5773502691896258,1008,7.917756711926704e-09,0.0,313173.91169454815
REF_0008,discovery,910001,low_drive,3,dispersed_slots,axis_x,1.0,0.0,0.0,1008,3.3619202268063094e-08,0.0,1714.969189382626
REF_0008,discovery,910001,low_drive,3,dispersed_slots,axis_y,0.0,1.0,0.0,1008,3.3619202268063094e-08,0.0,26184.26757480706
REF_0008,discovery,910001,low_drive,3,dispersed_slots,axis_z,0.0,0.0,1.0,1008,3.3619202268063094e-08,0.0,7439.1000431128605
REF_0008,discovery,910001,low_drive,3,dispersed_slots,face_xy_p,0.7071067811865475,0.7071067811865475,0.0,1008,3.3619202268063094e-08,0.0,9223.868416323397
REF_0008,discovery,910001,low_drive,3,dispersed_slots,face_xy_m,0.7071067811865475,-0.7071067811865475,0.0,1008,3.3619202268063094e-08,0.0,20618.244863427204
REF_0008,discovery,910001,low_drive,3,dispersed_slots,face_xz_p,0.7071067811865475,0.0,0.7071067811865475,1008,3.3619202268063094e-08,0.0,9771.58646936383
REF_0008,discovery,910001,low_drive,3,dispersed_slots,face_xz_m,0.7071067811865475,0.0,-0.7071067811865475,1008,3.3619202268063094e-08,0.0,12030.448174029196
REF_0008,discovery,910001,low_drive,3,dispersed_slots,face_yz_p,0.0,0.7071067811865475,0.7071067811865475,1008,3.3619202268063094e-08,0.0,4517.633362702664
REF_0008,discovery,910001,low_drive,3,dispersed_slots,face_yz_m,0.0,0.7071067811865475,-0.7071067811865475,1008,3.3619202268063094e-08,0.0,29519.05047341661
