door,waveform_count,observed_median_affinity,time_shift_null_median,time_shift_null_q90,time_shift_null_q95,time_shift_empirical_p,time_reversed_median_affinity,frequency_reversed_median_affinity,separable_null_median_affinity,clears_q90_and_reversals,clears_q95_and_all_controls
discovery,4,0.15085708448339544,0.15073653123462383,0.15566940299868237,0.15586119344350596,0.5,0.15148859658390498,0.04133565919163908,0.14514194242867545,False,False
validation,3,0.068025103859652,0.07155109529070865,0.0946935156035249,0.09617518822042415,0.8125,0.06851097200921362,0.061107731541509114,0.09801181145720715,False,False
final,3,0.07647350873828994,0.061182153272261494,0.07306172627440939,0.07319307095726041,0.020833333333333332,0.07517706372643536,0.08274516830035857,0.08113754721047245,False,False
