name,gamma_1_T2,gamma_phi_T2,t1_jitter_rel,t2_jitter_rel,pulse_fidelity_err,readout_confusion,spam_err,phase_noise_rad,drift_rel_per_window
room_temp_NV,1.0,0.5,0.05,0.05,0.002,0.015,0.005,0.05,0.01
cryogenic_NV,0.1,0.95,0.03,0.04,0.001,0.008,0.003,0.03,0.005
noisy_NV,1.0,0.5,0.08,0.08,0.005,0.025,0.012,0.1,0.03
zero_wait,1.0,0.5,0,0,0,0,0,0,0
no_decoherence,0,0,0,0,0,0,0,0,0
