check,passed,observed,expected
particle_rows_321,True,321,321
matter_rows_126,True,126,126
periodic_rows_126,True,126,126
matter_ids_subset_of_particle_ids,True,0,0
periodic_ids_separate_from_particle_candidate_ids,True,0,0
complement_rows_195,True,195,195
matter_table_split_63_63,True,"{'stable_matter_rows': 63, 'bound_composite_rows': 63}","{'stable_matter_rows': 63, 'bound_composite_rows': 63}"
all_particle_rows_get_gate_reason,True,321,321
complement_is_all_non_matter_table_rows,True,no matter ids in complement,no matter ids in complement
lc04_retains_cr119_table_counts,True,LC04 particle replay layers scanned,CR119 finite vault row count layer present
