field,value,count
complement_role,ANTIMATTER_CONJUGATE_COMPLEMENT,41
complement_role,CARRIER_SUPPORT_NOT_MATTER,6
complement_role,HEAVY_COLOR_BOUND_COMPLEMENT,93
complement_role,NEGATIVE_SURFACE_COLOR_CLOSURE,13
complement_role,NULL_CONJUGATE_BOUNDARY,1
complement_role,REJECTED_WRONG_CONTROL,8
complement_role,SOURCE_SUPPORT_NOT_MATTER,8
complement_role,UNSTABLE_RESONANCE_COMPLEMENT,25
