isotope,Z,N,A,Q,Q_rational,m_meas_u,m_pred_u,eps,abs_eps,delta_m_u,confidence_lane,mass_uncertainty_u
Zn-64,30,34,64,2224.5625,35593/16,63.92914201,60.013488829563016,0.06124989413786412,0.06124989413786412,3.915653180436982,LANE_A_HARD_MEASURED,7e-09
Br-79,35,44,79,2595.8645833333335,249203/96,78.9183371,70.03034986651679,0.11262258633530191,0.11262258633530191,8.887987233483209,LANE_A_HARD_MEASURED,1.4e-08
Kr-84,36,48,84,2670.375,21363/8,83.91149773,72.04046648868905,0.14147085396459108,0.14147085396459108,11.871031241310945,LANE_A_HARD_MEASURED,3.4e-09
Ag-107,47,60,107,3485.9895833333335,334655/96,106.90509682,94.0438386960798,0.12030537838224083,0.12030537838224083,12.86125812392019,LANE_A_HARD_MEASURED,1.5e-08
Sn-120,50,70,120,3709.2708333333335,178045/48,119.90220163,100.0674441478151,0.1654244643763253,0.1654244643763253,19.83475748218491,LANE_A_HARD_MEASURED,9.7e-09
I-127,53,74,127,3931.8020833333335,377453/96,126.9044719,106.07081635520585,0.16416801735096426,0.16416801735096426,20.833655544794155,LANE_A_HARD_MEASURED,3.9e-08
Xe-132,54,78,132,4006.3125,64101/16,131.90415509,108.08093297737811,0.18061009599255598,0.18061009599255598,23.82322211262189,LANE_A_HARD_MEASURED,2.4e-09
Cs-133,55,78,133,4080.3229166666665,391711/96,132.90545196,110.07756076998736,0.17176038193589727,0.17176038193589727,22.827891190012647,LANE_A_HARD_MEASURED,2.4e-09
Au-197,79,118,197,5861.572916666667,562711/96,196.966568795,158.13151608823944,0.19716570656810062,0.19716570656810062,38.83505270676057,LANE_A_HARD_MEASURED,2e-08
Hg-200,80,120,200,5935.833333333333,35615/6,199.9683259,160.1348882956302,0.19919873522514606,0.19919873522514606,39.83343760436982,LANE_A_HARD_MEASURED,4.7e-09
Pb-208,82,126,208,6084.604166666667,292061/48,207.976652252,164.1483771251932,0.21073651610518856,0.21073651610518856,43.8282751268068,LANE_A_HARD_MEASURED,1.9e-09
Th-232,90,142,232,6678.6875,106859/16,232.038054,180.17535478431924,0.2235094559777715,0.2235094559777715,51.86269921568076,LANE_A_HARD_MEASURED,1.4e-09
U-235,92,143,235,6826.833333333333,40961/6,235.043929908,184.17198257692849,0.2164359120058264,0.2164359120058264,50.87194733107152,LANE_A_HARD_MEASURED,1.9e-09
U-238,92,146,238,6827.208333333333,163853/24,238.050788268,184.18209919910075,0.22629074014345768,0.22629074014345768,53.86868906889926,LANE_A_HARD_MEASURED,2e-09
