header_key,header_value,expected,passed,source
upstream_contract,CR222a,CR222a,True,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222a_NATIVE_STACK_CONTRACT\Tier1_NativeStackContract.csv
native_stack,Native63 + Bound63,Native63 + Bound63,True,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222a_NATIVE_STACK_CONTRACT\Tier1_NativeStackContract.csv
matter_total,126,126,True,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222a_NATIVE_STACK_CONTRACT\Tier1_NativeStackContract.csv
support_stack,CarrierLedger81 + Mirror81,CarrierLedger81 + Mirror81,True,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222a_NATIVE_STACK_CONTRACT\Tier1_NativeStackContract.csv
support_total,162,162,True,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222a_NATIVE_STACK_CONTRACT\Tier1_NativeStackContract.csv
Tier1_NativeStackContract.csv_sha256,0b18cd65bcf366364c66f1ea0aabe50f2e085794448713342bce6c69670aed0b,0b18cd65bcf366364c66f1ea0aabe50f2e085794448713342bce6c69670aed0b,True,12a_QC_QN_CARRIER_COMPRESSION_REFRESH\CR222a_NATIVE_STACK_CONTRACT\Tier1_NativeStackContract.csv
