galaxy,n_points,R_outer_kpc,Vbar2_outer,Vobs2_outer,Vdark2_outer,M_halo_measured,M_halo_SAM,ratio,log10_ratio
CamB,9,1.79,158.90215,404.01000000000005,245.10785000000004,102011679.27252607,210509925.23149464,2.063586510218242,0.314622680202953
D512-2,4,3.83,267.05129999999997,1288.81,1021.7587,909885540.7344028,756977974.239251,0.8319485697379757,-0.07990352054746964
D564-8,6,3.07,78.82285,625.0,546.17715,389862575.7107217,179093688.79004386,0.4593764571107013,-0.33783126601715363
D631-7,16,7.19,332.6440999999999,3283.2899999999995,2950.6458999999995,4932710524.284395,1770102795.3177378,0.3588499237089394,-0.44508714176213793
DDO064,14,2.98,639.6009500000001,2199.6099999999997,1560.0090499999997,1080893803.6369045,1410636564.5425794,1.3050649007295472,0.11563210962668154
DDO154,12,5.92,264.20340000000004,2070.25,1806.0466,2485938062.410048,1157576979.6753561,0.4656499681867043,-0.3319404223801415
DDO161,31,13.37,865.74015,4369.209999999999,3503.469849999999,10891042103.764084,8566604932.287006,0.78657348403109,-0.10426069806494458
DDO168,10,4.12,651.09605,2704.0,2052.90395,1966552258.475532,1985327001.5631313,1.0095470349219977,0.004126557584982075
DDO170,8,12.33,732.6600499999998,3868.84,3136.17995,8990910942.916733,6685830474.887419,0.7436210320996101,-0.12864833542027027
ESO079-G014,15,16.67,9355.986550000001,31684.0,22328.01345,86541681693.29283,115429007445.3372,1.3337966767785054,0.12508963101744067
ESO116-G012,15,9.86,2212.0854000000004,12544.0,10331.9146,23686307771.146107,16142417552.94079,0.6815083933260785,-0.1665287911091991
ESO444-G084,7,4.44,245.18294999999998,3931.2900000000004,3686.1070500000005,3805314526.9256983,805680790.0529304,0.21172515027393474,-0.6742275502166412
ESO563-G021,30,42.41,21334.020149999997,97344.0,76009.97985,749511904559.384,669623591725.2858,0.8934128833069539,-0.04894778915008059
F561-1,6,9.66,2078.3044,2540.16,461.85559999999987,1037344444.7802904,14858537206.32648,14.323629225655631,1.1560530705543388
F563-1,17,20.1,1492.4580500000002,11236.0,9743.541949999999,45535757129.3052,22201788588.448967,0.48756823182721787,-0.3119645991808141
F563-V1,6,7.87,678.97335,745.2900000000001,66.3166500000001,121349211.09718661,3954733596.4104676,32.58969350235978,1.5130802760570499
F563-V2,10,10.47,2279.4491000000003,13924.0,11644.5509,28347128380.505527,17663076632.878468,0.6230993275856986,-0.20544271741154915
F565-V2,7,8.8,909.4232999999999,6905.609999999999,5996.186699999998,12268669411.82215,5922956208.383363,0.48277087021971377,-0.3162589425608097
F567-2,5,9.59,1132.75965,2724.84,1592.0803500000002,3549958161.5286074,8039816756.435775,2.2647638058285846,0.3550229157642668
F568-1,12,13.23,3495.7088999999996,20164.0,16668.291100000002,51273216889.6815,34228264317.68972,0.6675661562514131,-0.1755056889577844
F568-3,18,17.98,2720.03045,14400.0,11679.96955,48828236933.346664,36195387119.348915,0.7412798288981371,-0.1300178173845573
F568-V1,15,17.63,1846.6281,13924.0,12077.3719,49506747780.585976,24094700082.778625,0.48669527211858865,-0.3127428725828365
F571-8,13,15.55,1663.48085,20736.0,19072.51915,68956958593.0652,19144233012.32544,0.2776258321556937,-0.5565401266872004
F571-V1,7,13.59,1182.6882,7039.210000000001,5856.5218,18505416589.04744,11895412125.955389,0.6428070434791385,-0.19191937315423727
F574-1,14,12.6,2160.71845,9940.09,7779.37155,22790544682.404423,20149232030.136482,0.8841048913452612,-0.0534962066723764
F574-2,5,10.83,1453.1201,1600.0,146.8798999999999,369854127.84736234,11647151896.10329,31.49120428611259,1.4981892692365009
F579-V1,14,15.16,3112.21405,12996.0,9883.78595,34838719015.74318,34918729432.915436,1.0022965946921327,0.0009962548425505706
F583-1,25,16.26,1710.2365499999999,7361.639999999999,5651.40345,21365669148.38953,20581001178.02043,0.963274355466267,-0.01625000145756975
F583-4,12,7.29,918.0297,4886.010000000001,3967.980300000001,6725687444.517558,4953065060.057698,0.7364399700279245,-0.13286264834362022
IC2574,34,10.23,1025.48935,4556.25,3530.76065,8398148635.870084,7764197261.548299,0.9245129609144974,-0.03408699600919916
IC4202,32,25.9,21914.719629999996,61009.0,39094.28037000001,235425029024.78784,420073664641.74335,1.7843203264403713,0.2514728228637904
KK98-251,15,3.13,380.60934999999995,1169.64,789.0306500000002,574219394.1514704,881685224.9668741,1.5354500979016026,0.18623570644620674
NGC0024,29,11.27,1223.0716499999999,12100.0,10876.92835,28501638607.759758,10201536512.384554,0.3579280704796783,-0.44620424076511506
NGC0055,21,13.5,2281.6321,7482.25,5200.6179,16324066685.887407,22796551729.442894,1.3964995468409305,0.1450407991100527
NGC0100,21,9.62,1272.6640999999997,8317.44,7044.775900000001,15757303491.121649,9061052320.508703,0.5750382561086099,-0.24030326163350918
NGC0247,26,14.54,2325.0387,11449.0,9123.961299999999,30845192599.24062,25019830616.596195,0.8111419805889674,-0.09090312114091399
NGC0289,28,71.12,5034.9954,27225.0,22190.0046,366934701528.7463,265021189376.03625,0.7222570889912794,-0.14130818683968652
NGC0300,25,11.8,1091.7956499999998,8742.25,7650.45435,20989828043.36757,9534834068.213474,0.4542597513668684,-0.3426957411374477
NGC0801,13,59.82,16989.474150000002,46656.0,29666.525849999998,412622346514.34235,752170191460.867,1.82290221994732,0.2607633738243596
NGC0891,18,17.11,22022.481029999995,43264.0,21241.518970000005,84503602627.51373,278872716215.32104,3.30012813115878,0.5185308021733215
