qp_id,manifest_entries,hash_matches,hash_mismatches,missing,status
qp055,5,5,0,0,reproduction_verified
qp056,9,9,0,0,reproduction_verified
qp058,5,5,0,0,reproduction_verified
qp059,7,7,0,0,reproduction_verified
